id,observed_on,time_observed_at,quality_grade,image_url,sound_url,latitude,longitude,place_county_name,place_state_name,scientific_name,common_name,taxon_id,taxon_family_name
19887,2011-05-25,,research,https://static.inaturalist.org/photos/35724/medium.jpg,,51.9929214815,5.9768790007,Rheden,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
196700,2013-02-12,,research,https://static.inaturalist.org/photos/250919/medium.jpg,,52.0256698533,5.8371734619,Arnhem,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
604481,2014-04-01,,research,https://static.inaturalist.org/photos/761508/medium.jpg,,51.798004,4.735966,Dordrecht,Zuid-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
687624,2014-05-20,,research,https://inaturalist-open-data.s3.amazonaws.com/photos/864925/medium.jpg,,53.322079,6.869169,Appingedam,Groningen,Turdus merula,Eurasian Blackbird,12716,Turdidae
891629,2014-09-23,2014-09-23 15:34:21 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/1133172/medium.JPG,,52.366753,4.908727,Amsterdam,Noord-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
1101548,2014-11-29,2014-11-29 12:19:46 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/1384741/medium.jpg,,51.90681,4.470755,Rotterdam,Zuid-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
1566953,2007-12-16,2007-12-16 13:02:29 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/1939884/medium.jpg,,51.573656,5.07431,Tilburg,Noord-Brabant,Turdus merula,Eurasian Blackbird,12716,Turdidae
2896019,2010-01-09,2010-01-09 12:47:15 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/3312430/medium.JPG,,53.218034,6.500504,Groningen,Groningen,Turdus merula,Eurasian Blackbird,12716,Turdidae
3038205,2016-04-21,2016-04-21 19:02:56 +0200,research,https://static.inaturalist.org/photos/3497978/medium.jpg,,52.0390383333,4.372455,'s-Gravenhage,Zuid-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
3059372,2016-04-26,2016-04-26 14:44:09 +0200,research,https://static.inaturalist.org/photos/3524153/medium.jpg,,52.0813805704,4.3050290365,'s-Gravenhage,Zuid-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
3072320,2016-04-25,2016-04-25 16:06:23 +0200,research,https://static.inaturalist.org/photos/3540640/medium.jpg,,52.0244283333,4.3846616667,Delft,Zuid-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
3073007,2016-04-27,2016-04-27 16:52:04 +0200,research,https://static.inaturalist.org/photos/3541656/medium.jpg,,52.0219716667,4.3754783333,Delft,Zuid-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
3073040,2016-04-27,2016-04-27 17:51:02 +0200,research,https://static.inaturalist.org/photos/3541703/medium.jpg,,52.0219716667,4.3754783333,Delft,Zuid-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
3130432,2016-04-17,2016-04-17 10:54:38 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/3622271/medium.JPG,,53.231278,6.560835,Groningen,Groningen,Turdus merula,Eurasian Blackbird,12716,Turdidae
3636958,2016-07-07,2016-07-07 12:03:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/4204438/medium.JPG,,53.026836,6.596073,Assen,Drenthe,Turdus merula,Eurasian Blackbird,12716,Turdidae
3637675,2016-07-02,2016-07-02 12:18:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/4205500/medium.JPG,,51.8275871715,5.8382168412,Nijmegen,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
3858034,2016-08-11,2016-08-11 09:19:10 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/4520199/medium.jpg,,52.2476256548,4.9607003926,Amsterdam,Noord-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
4611194,2016-10-30,2016-10-30 12:00:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/5577700/medium.jpeg,,52.9082836628,6.813519001,Borger-Odoorn,Drenthe,Turdus merula,Eurasian Blackbird,12716,Turdidae
4611207,2016-10-30,2016-10-30 16:37:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/5577727/medium.jpeg,,52.9105418023,6.8160536885,Borger-Odoorn,Drenthe,Turdus merula,Eurasian Blackbird,12716,Turdidae
5002646,2013-05-24,2013-05-25 00:28:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/6115739/medium.jpeg,,52.3573534345,4.8668575287,Amsterdam,Noord-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
5490598,2017-03-13,2017-03-13 13:28:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/6764011/medium.jpeg,,53.2256014385,6.5564346313,Groningen,Groningen,Turdus merula,Eurasian Blackbird,12716,Turdidae
5500799,2017-03-11,2017-03-11 08:17:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/6780127/medium.jpeg,,51.7735345881,4.6796447039,Dordrecht,Zuid-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
5501089,2017-03-12,2017-03-12 10:57:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/6780466/medium.jpeg,,52.982655,6.5488683333,Assen,Drenthe,Turdus merula,Eurasian Blackbird,12716,Turdidae
5501120,2017-03-12,2017-03-12 18:26:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/6780575/medium.jpeg,,53.228193838,6.5615308285,Groningen,Groningen,Turdus merula,Eurasian Blackbird,12716,Turdidae
5520335,2017-03-17,2017-03-17 11:15:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/6809230/medium.jpeg,,51.7735528446,4.6796634793,Dordrecht,Zuid-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
5530130,2017-03-18,2017-03-18 10:49:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/6823185/medium.jpeg,,51.8270886751,5.8379875124,Nijmegen,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
5530382,2017-03-18,2017-03-18 11:38:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/6823856/medium.jpeg,,51.8276199661,5.8419907093,Nijmegen,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
5599362,2017-04-07,2017-04-07 08:14:04 +0200,research,https://static.inaturalist.org/photos/6936815/medium.jpg,,50.8475616667,5.6896416667,Maastricht,Limburg,Turdus merula,Eurasian Blackbird,12716,Turdidae
5718236,2017-04-15,2017-04-16 04:17:00 +0200,research,https://static.inaturalist.org/photos/7090859/medium.jpeg,,52.0396233371,5.085900306,Nieuwegein,Utrecht,Turdus merula,Eurasian Blackbird,12716,Turdidae
7022705,2017-07-12,2017-07-12 12:29:33 +0200,research,https://static.inaturalist.org/photos/9005360/medium.jpeg,,52.0483166,4.2838791,'s-Gravenhage,Zuid-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
9177735,2017-12-17,2017-12-17 13:15:51 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/12418693/medium.jpeg,,52.1436020075,4.4081170383,Wassenaar,Zuid-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
9191907,2017-01-10,2017-01-10 14:58:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/12441984/medium.jpg,,51.793201,5.923819,Groesbeek,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
9191920,2017-01-26,2017-01-26 12:08:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/12442004/medium.jpg,,51.791412,5.922629,Groesbeek,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
9191929,2017-02-11,2017-02-11 14:06:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/12442012/medium.jpg,,51.792139,5.920987,Groesbeek,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
9191936,2017-04-26,2017-04-26 08:04:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/12442035/medium.jpg,,51.789113,5.926309,Groesbeek,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
9191943,2017-05-06,2017-05-06 07:00:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/12442043/medium.jpg,,51.790918,5.921931,Groesbeek,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
9354873,2018-01-03,,research,https://static.inaturalist.org/photos/12697539/medium.jpg,,52.35917006,4.89690094,Amsterdam,Noord-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
9428792,2017-01-21,2017-01-21 12:10:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/12815263/medium.jpg,,51.8654642944,6.0034489632,Ubbergen,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
9428793,2017-03-14,2017-03-14 10:55:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/12815269/medium.jpg,,51.7984955967,5.713416338,Wijchen,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
9428794,2017-05-08,2017-05-08 08:43:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/12815275/medium.jpg,,51.782385951,5.708078742,Wijchen,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
9428795,2017-05-08,2017-05-08 13:40:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/12815278/medium.jpg,,51.7788663356,5.7125768065,Wijchen,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
9428796,2017-07-11,2017-07-11 13:40:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/12815289/medium.jpg,,51.7876159142,5.920997858,Groesbeek,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
9506844,2018-01-05,2018-01-05 11:44:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/12955670/medium.jpeg,,51.7876490974,5.9210273623,Groesbeek,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
9506957,2018-01-01,2018-01-01 12:33:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/12955884/medium.jpeg,,51.7876767085,5.9210085869,Groesbeek,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
9508594,2018-01-17,2018-01-17 14:29:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/12958615/medium.jpeg,,51.7876457791,5.9209898114,Groesbeek,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
9538759,2018-01-19,2018-01-19 13:08:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/13011225/medium.jpeg,,51.7876393775,5.9210059047,Groesbeek,Gelderland,Turdus merula,Eurasian Blackbird,12716,Turdidae
9692503,2018-01-11,2018-01-11 09:38:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/13253208/medium.jpeg,,52.3917220181,4.9371316731,Amsterdam,Noord-Holland,Turdus merula,Eurasian Blackbird,12716,Turdidae
