id,observed_on,time_observed_at,quality_grade,image_url,sound_url,latitude,longitude,place_county_name,place_state_name,scientific_name,common_name,taxon_id,taxon_family_name
15191,2011-03-22,,research,https://inaturalist-open-data.s3.amazonaws.com/photos/29404/medium.JPG,,52.3602793,4.87284,Amsterdam,Noord-Holland,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
1502065,2012-12-17,,research,https://inaturalist-open-data.s3.amazonaws.com/photos/1860445/medium.jpg,,51.6047981121,5.1759338379,Tilburg,Noord-Brabant,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
2939805,2016-04-15,2016-04-15 15:08:41 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/3370383/medium.jpg,,52.2718238611,7.0097636944,Losser,Overijssel,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
3004343,2016-04-22,,research,https://static.inaturalist.org/photos/3455873/medium.jpg,,51.777854,4.768214,Werkendam,Noord-Brabant,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
3072998,2016-04-27,2016-04-27 16:20:34 +0200,research,https://static.inaturalist.org/photos/3541648/medium.jpg,,52.0219716667,4.3754783333,Delft,Zuid-Holland,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
3758621,2016-07-18,2016-07-18 20:32:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/4377133/medium.jpeg,,53.132195,6.478212,Noordenveld,Drenthe,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
4723927,2016-12-06,2016-12-06 15:10:55 +0100,research,https://static.inaturalist.org/photos/5711944/medium.jpg,,50.85343,5.6881783333,Maastricht,Limburg,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
5002792,2013-05-27,2013-05-27 20:40:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/6116031/medium.jpeg,,51.9158670026,4.4549560547,Rotterdam,Zuid-Holland,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
5501094,2017-03-12,2017-03-12 11:01:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/6780469/medium.jpeg,,52.982765,6.5481333333,Assen,Drenthe,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
5530344,2017-03-18,2017-03-18 11:10:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/6823673/medium.jpeg,,51.8270265112,5.8384810388,Nijmegen,Gelderland,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
6218339,2017-05-08,2017-05-08 12:54:07 +0200,research,https://static.inaturalist.org/photos/7812160/medium.jpg,,52.363453898,4.8974924919,Amsterdam,Noord-Holland,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
7248621,2017-07-28,2017-07-28 14:39:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/9364552/medium.jpeg,,53.4166429055,6.4617097378,De Marne,Groningen,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
7275218,2017-07-30,2017-07-30 09:01:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/9406051/medium.jpeg,,53.3538173507,6.1510026455,Dongeradeel,Friesland,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
7372853,2017-08-05,2017-08-05 06:07:00 +0200,research,https://static.inaturalist.org/photos/9563718/medium.jpeg,,53.243224015,6.6147928566,Groningen,Groningen,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
8165984,2017-09-28,2017-09-28 12:50:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/10813865/medium.jpeg,,51.9232817859,4.0309524536,Westvoorne,Zuid-Holland,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
8165988,2017-09-28,2017-09-28 12:31:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/10813872/medium.jpeg,,51.9245918626,4.0368318558,Westvoorne,Zuid-Holland,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
9191967,2017-01-10,2017-01-10 15:08:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/12442070/medium.jpg,,51.796067,5.921674,Groesbeek,Gelderland,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
9191972,2017-01-26,2017-01-26 11:45:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/12442079/medium.jpg,,51.79198,5.923305,Groesbeek,Gelderland,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
9191995,2017-02-11,2017-02-11 14:55:00 +0100,research,https://inaturalist-open-data.s3.amazonaws.com/photos/12442115/medium.jpg,,51.796013,5.923374,Groesbeek,Gelderland,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
9192005,2017-03-26,2017-03-26 11:19:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/12442133/medium.jpg,,51.793636,5.914872,Groesbeek,Gelderland,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
9192025,2017-04-26,2017-04-26 15:57:00 +0200,research,https://inaturalist-open-data.s3.amazonaws.com/photos/12442148/medium.jpg,,51.791322,5.922033,Groesbeek,Gelderland,Cyanistes caeruleus,Eurasian Blue Tit,144849,Paridae
