id,observed_on,time_observed_at,quality_grade,image_url,sound_url,latitude,longitude,place_county_name,place_state_name,scientific_name,common_name,taxon_id,taxon_family_name
15192,2011-03-22,,research,https://inaturalist-open-data.s3.amazonaws.com/photos/29405/medium.JPG,,52.3602793,4.87284,Amsterdam,Noord-Holland,Parus major,Great Tit,203153,Paridae
1502072,2010-01-09,,research,https://inaturalist-open-data.s3.amazonaws.com/photos/1860455/medium.jpg,,51.55551,5.0913,Tilburg,Noord-Brabant,Parus major,Great Tit,203153,Paridae
1957435,2008-11-04,2008-11-04 10:57:42 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/2398958/medium.jpg,,51.553167,5.091476,Tilburg,Noord-Brabant,Parus major,Great Tit,203153,Paridae
2874329,2009-03-15,2009-03-15 10:25:01 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/3281833/medium.JPG,,52.261123,5.416991,Zeewolde,Flevoland,Parus major,Great Tit,203153,Paridae
2896079,2008-10-16,2008-10-16 13:27:07 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/3312500/medium.JPG,,53.21807,6.50023,Groningen,Groningen,Parus major,Great Tit,203153,Paridae
3072317,2016-04-25,2016-04-25 13:47:00 UTC,research,https://static.inaturalist.org/photos/3540637/medium.jpg,,52.0244283333,4.3846616667,Delft,Zuid-Holland,Parus major,Great Tit,203153,Paridae
3072325,2016-04-25,2016-04-25 14:48:50 UTC,research,https://static.inaturalist.org/photos/3540645/medium.jpg,,52.0244283333,4.3846616667,Delft,Zuid-Holland,Parus major,Great Tit,203153,Paridae
3072999,2016-04-27,2016-04-27 14:21:13 UTC,research,https://static.inaturalist.org/photos/3541649/medium.jpg,,52.0219716667,4.3754783333,Delft,Zuid-Holland,Parus major,Great Tit,203153,Paridae
3073002,2016-04-27,2016-04-27 14:30:00 UTC,research,https://static.inaturalist.org/photos/3541652/medium.jpg,,52.0219716667,4.3754783333,Delft,Zuid-Holland,Parus major,Great Tit,203153,Paridae
3279694,2016-05-23,2016-05-23 13:17:35 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/3791821/medium.jpg,,52.2288466667,4.4889866667,Voorhout,Zuid-Holland,Parus major,Great Tit,203153,Paridae
3637673,2016-07-02,2016-07-02 10:16:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/4205494/medium.JPG,,51.8275277778,5.8381111111,Nijmegen,Gelderland,Parus major,Great Tit,203153,Paridae
3846443,2016-05-20,2016-05-20 21:27:03 UTC,research,https://static.inaturalist.org/photos/4503948/medium.jpeg,,51.9790618038,5.0795003772,Vianen,Utrecht,Parus major,Great Tit,203153,Paridae
4611200,2016-10-30,2016-10-30 14:52:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/5577714/medium.jpeg,,52.9093496616,6.8126606941,Borger-Odoorn,Drenthe,Parus major,Great Tit,203153,Paridae
4611285,2016-11-03,2016-11-03 17:29:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/5577835/medium.jpeg,,53.1142499703,6.6432443261,Haren,Groningen,Parus major,Great Tit,203153,Paridae
4620657,2016-11-23,2016-11-23 09:40:56 UTC,research,https://static.inaturalist.org/photos/5591440/medium.jpg,,50.8535383333,5.6881216667,Maastricht,Limburg,Parus major,Great Tit,203153,Paridae
4999050,2013-05-27,2013-05-27 21:27:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/6110371/medium.jpeg,,51.940368446,4.4408798218,Rotterdam,Zuid-Holland,Parus major,Great Tit,203153,Paridae
5530139,2017-03-18,2017-03-18 10:06:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/6823233/medium.jpeg,,51.827277653,5.8381041884,Nijmegen,Gelderland,Parus major,Great Tit,203153,Paridae
5530341,2017-03-18,2017-03-18 10:07:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/6823656/medium.jpeg,,51.8273423031,5.8383241296,Nijmegen,Gelderland,Parus major,Great Tit,203153,Paridae
7275220,2017-07-30,2017-07-30 07:04:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/9406055/medium.jpg,,53.3538301582,6.1510455608,Dongeradeel,Friesland,Parus major,Great Tit,203153,Paridae
7525803,2017-08-15,2017-08-15 10:21:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/9813483/medium.jpeg,,51.9433191311,4.5091205835,Rotterdam,Zuid-Holland,Parus major,Great Tit,203153,Paridae
