id,observed_on,time_observed_at,quality_grade,image_url,sound_url,latitude,longitude,place_state_name,place_country_name,scientific_name,common_name,taxon_id,taxon_family_name
76416311,2021-04-29,2021-04-29 05:39:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/125004238/medium.jpg,,54.9700507619,82.8229406923,Novosibirsk,Russia,Turdus philomelos,Song Thrush,12748,Turdidae
271679514,2025-04-16,2025-04-16 09:04:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/488715422/medium.jpeg,,55.7754391421,37.7721014825,Moscow City,Russia,Turdus philomelos,Song Thrush,12748,Turdidae
137037977,2022-09-27,2022-09-27 07:40:01 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/233972393/medium.jpeg,,56.4657778797,57.8330980986,Sverdlovsk,Russia,Turdus philomelos,Song Thrush,12748,Turdidae
229582680,2024-07-01,2024-07-01 14:24:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/407535185/medium.jpg,,48.098023749,11.485612236,Bayern,Germany,Turdus philomelos,Song Thrush,12748,Turdidae
163348593,2023-05-21,2023-05-21 08:14:28 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/282515143/medium.jpeg,,50.9254511466,13.0249189585,Sachsen,Germany,Turdus philomelos,Song Thrush,12748,Turdidae
149128580,2023-02-19,2023-02-19 12:34:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/256926050/medium.jpeg,,49.4386407002,1.1649049586,Haute-Normandie,France,Turdus philomelos,Song Thrush,12748,Turdidae
92005790,2021-08-04,2021-08-04 08:35:00 UTC,research,https://static.inaturalist.org/photos/152265278/medium.jpeg,,42.5636338032,0.2289509953,Aragón,Spain,Turdus philomelos,Song Thrush,12748,Turdidae
121060404,2022-06-10,2022-06-10 02:40:00 UTC,research,https://static.inaturalist.org/photos/204823159/medium.jpeg,,55.6741515942,37.3589899095,Moskva,Russia,Turdus philomelos,Song Thrush,12748,Turdidae
211153891,2024-04-24,2024-04-24 22:57:00 UTC,research,https://static.inaturalist.org/photos/373357388/medium.jpg,,52.15637,-2.7258116667,England,United Kingdom,Turdus philomelos,Song Thrush,12748,Turdidae
251899706,2009-06-18,2009-06-18 08:19:00 UTC,research,https://static.inaturalist.org/photos/450815260/medium.jpeg,,51.8374574126,17.9372754365,Greater Poland,Poland,Turdus philomelos,Song Thrush,12748,Turdidae
292141549,2025-06-22,2025-06-22 14:27:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/525694658/medium.jpg,,49.2335877,17.3594917,Zlínský,Czechia,Turdus philomelos,Song Thrush,12748,Turdidae
22720879,2019-04-19,2019-04-19 09:27:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/35207093/medium.jpg,,55.8231003931,37.4631280158,Moscow City,Russia,Turdus philomelos,Song Thrush,12748,Turdidae
56310307,2020-08-13,2020-08-13 09:16:46 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/89727029/medium.jpeg,,49.8635493616,33.9808754995,Poltava,Ukraine,Turdus philomelos,Song Thrush,12748,Turdidae
