id,observed_on,time_observed_at,quality_grade,image_url,sound_url,latitude,longitude,place_state_name,place_country_name,scientific_name,common_name,taxon_id,taxon_family_name
287871630,2025-05-16,2025-05-16 22:08:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/517641011/medium.jpg,,10.5667278139,-83.5150176541,Limón,Costa Rica,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
142718394,2022-10-21,2022-10-21 11:29:00 UTC,research,https://static.inaturalist.org/photos/244731431/medium.jpeg,,9.6382277,-82.796815,Limón,Costa Rica,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
89139670,2021-07-07,2021-07-07 12:44:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/147167982/medium.jpeg,,8.9003718897,-79.5914606146,Panamá Oeste,Panama,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
254761471,2024-11-09,2024-11-09 17:17:29 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/456400784/medium.jpeg,,10.0636382997,-84.2470866,Alajuela,Costa Rica,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
266296437,2025-03-05,,research,https://inaturalist-open-data.s3.amazonaws.com/photos/478446118/medium.jpg,,17.752794,-88.654922,Orange Walk,Belize,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
41539980,2020-04-06,2020-04-06 14:32:40 UTC,research,https://static.inaturalist.org/photos/65906784/medium.jpg,,19.5215440302,-96.8194120616,Veracruz,Mexico,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
151073961,2022-07-23,2022-07-23 21:06:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/260606143/medium.jpg,,10.5386356574,-83.5023486609,Limón,Costa Rica,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
104786315,2022-01-09,2022-01-09 20:37:01 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/175660071/medium.jpg,,10.4392090826,-83.7862970595,Limón,Costa Rica,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
269390042,2025-04-03,2025-04-03 12:58:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/484361606/medium.jpeg,,17.22365462,-89.6121188022,Petén,Guatemala,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
297389537,2015-06-27,2015-06-27 14:44:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/535577196/medium.jpg,,10.5332020432,-83.5035012571,Limón,Costa Rica,Ramphastos sulfuratus brevicarinatus,,555608,Ramphastidae
107155549,2018-01-30,2018-01-30 09:50:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/180166611/medium.jpeg,,9.7481441296,-82.8129799894,Limón,Costa Rica,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
124069126,2022-04-08,2022-04-08 12:18:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/210256535/medium.jpeg,,10.5509640184,-83.5064840927,Limón,Costa Rica,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
136741070,2022-09-14,2022-09-14 13:38:54 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/233420889/medium.jpg,,10.4019294458,-84.1065093864,Heredia,Costa Rica,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
182386700,2015-09-08,2015-09-08 22:35:00 UTC,research,https://static.inaturalist.org/photos/317991021/medium.jpg,,10.4799705182,-84.7055412096,Alajuela,Costa Rica,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
5484078,2017-03-25,2017-03-25 11:39:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/6754900/medium.jpeg,,18.845797503,-96.9447346679,Veracruz,Mexico,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
86092825,2021-07-07,2021-07-07 12:34:00 UTC,research,https://static.inaturalist.org/photos/141766660/medium.jpg,,9.6079242173,-82.7014804375,Limón,Costa Rica,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
340865955,2008-03-16,2008-03-16 15:44:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/620390518/medium.jpg,,10.4526984,-84.0288179,Heredia,Costa Rica,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
309513558,2025-01-18,2025-01-18 14:15:06 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/558530910/medium.jpg,,14.9253420435,-88.049608916,Cortés,Honduras,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
243801334,2008-01-14,2008-01-15 00:39:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/434787635/medium.jpeg,,10.4488767,-83.5069226,Limón,Costa Rica,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
38057376,2020-01-25,2020-01-26 00:03:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/111749262/medium.jpg,,10.461214,-84.728149,Alajuela,Costa Rica,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
2670576,2015-11-28,2015-11-28 15:43:58 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/3000881/medium.JPG,,18.2855042891,-89.9259167025,Campeche,Mexico,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
208790237,2020-08-10,2020-08-10 14:01:00 UTC,research,https://static.inaturalist.org/photos/369442243/medium.jpeg,,10.1397678348,-84.3058853246,Alajuela,Costa Rica,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
201299266,2024-03-04,2024-03-04 20:18:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/355321530/medium.jpeg,,9.9120452058,-84.148686938,San José,Costa Rica,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
117553154,2022-05-16,,research,https://inaturalist-open-data.s3.amazonaws.com/photos/198461494/medium.jpeg,,17.752031,-88.653876,Orange Walk,Belize,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
327603779,2025-11-21,2025-11-21 14:33:47 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/593537935/medium.jpg,,9.065125,-79.649073,Panamá,Panama,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
220536558,2024-05-27,2024-05-27 14:32:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/390466482/medium.jpeg,,17.0899758347,-88.9881453254,Cayo,Belize,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
338114577,2026-02-10,2026-02-10 17:15:37 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/614806139/medium.jpg,,10.4831284852,-84.6806464344,Alajuela,Costa Rica,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
148045743,2023-01-28,2023-01-29 03:09:01 UTC,research,https://static.inaturalist.org/photos/254866733/medium.jpg,,10.4309843943,-84.0067075662,Heredia,Costa Rica,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
40940966,2020-03-08,2020-03-08 15:53:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/64910146/medium.jpeg,,15.5064699992,-86.6074655651,Yoro,Honduras,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
18806681,2018-12-03,2018-12-03 13:09:00 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/28805067/medium.jpeg,,10.3184916,-84.7935568,Alajuela,Costa Rica,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
127420035,2022-07-20,2022-07-20 20:30:26 UTC,research,https://static.inaturalist.org/photos/216320456/medium.jpg,,17.2249700018,-89.6190416667,Petén,Guatemala,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
126909985,2022-07-18,,research,https://inaturalist-open-data.s3.amazonaws.com/photos/215388516/medium.jpg,,9.077609,-79.649168,Panamá,Panama,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
34303016,2019-10-13,2019-10-13 13:14:13 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/54086202/medium.jpg,,17.12866383,-89.05951667,Cayo,Belize,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
247471877,2024-10-15,2024-10-15 13:53:30 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/441996593/medium.jpeg,,10.0828185432,-83.4754756093,Limón,Costa Rica,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
263818950,2025-03-03,2025-03-04 00:44:29 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/474026692/medium.jpg,,8.3053285,-75.5776575,Córdoba,Colombia,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
177463678,2023-06-14,,research,https://inaturalist-open-data.s3.amazonaws.com/photos/308654753/medium.jpeg,,16.9250910773,-95.4685890517,Oaxaca,Mexico,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
280787569,2025-05-13,2025-05-13 11:58:06 UTC,research,https://static.inaturalist.org/photos/504338486/medium.jpeg,,10.3831507997,-84.6180719,Alajuela,Costa Rica,Ramphastos sulfuratus,Keel-billed Toucan,18796,Ramphastidae
