id,observed_on,time_observed_at,quality_grade,image_url,sound_url,latitude,longitude,place_state_name,place_country_name,scientific_name,common_name,taxon_id,taxon_family_name
19887,2011-05-25,,research,https://static.inaturalist.org/photos/35724/medium.jpg,,51.9929214815,5.9768790007,Gelderland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
196700,2013-02-12,,research,https://static.inaturalist.org/photos/250919/medium.jpg,,52.0256698533,5.8371734619,Gelderland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
604481,2014-04-01,,research,https://static.inaturalist.org/photos/761508/medium.jpg,,51.798004,4.735966,Zuid-Holland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
687624,2014-05-20,,research,https://inaturalist-open-data.s3.amazonaws.com/photos/864925/medium.jpg,,53.322079,6.869169,Groningen,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
891629,2014-09-23,2014-09-23 13:34:21 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/1133172/medium.JPG,,52.366753,4.908727,Noord-Holland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
1101548,2014-11-29,2014-11-29 11:19:46 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/1384741/medium.jpg,,51.90681,4.470755,Zuid-Holland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
1566953,2007-12-16,2007-12-16 12:02:29 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/1939884/medium.jpg,,51.573656,5.07431,Noord-Brabant,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
2896019,2010-01-09,2010-01-09 11:47:15 UTC,research,https://inaturalist-open-data.s3.amazonaws.com/photos/3312430/medium.JPG,,53.218034,6.500504,Groningen,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
3038205,2016-04-21,2016-04-21 17:02:56 UTC,research,https://static.inaturalist.org/photos/3497978/medium.jpg,,52.0390383333,4.372455,Zuid-Holland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
3059372,2016-04-26,2016-04-26 12:44:09 UTC,research,https://static.inaturalist.org/photos/3524153/medium.jpg,,52.0813805704,4.3050290365,Zuid-Holland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
3072320,2016-04-25,2016-04-25 14:06:23 UTC,research,https://static.inaturalist.org/photos/3540640/medium.jpg,,52.0244283333,4.3846616667,Zuid-Holland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
3073007,2016-04-27,2016-04-27 14:52:04 UTC,research,https://static.inaturalist.org/photos/3541656/medium.jpg,,52.0219716667,4.3754783333,Zuid-Holland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
3073040,2016-04-27,2016-04-27 15:51:02 UTC,research,https://static.inaturalist.org/photos/3541703/medium.jpg,,52.0219716667,4.3754783333,Zuid-Holland,Netherlands,Turdus merula,Eurasian Blackbird,12716,Turdidae
