pair_id,species,split,is_outlier,image_path,audio_path,image_metadata_path,audio_metadata_path
blackbird_438,blackbird,train,0,data\images\blackbird\72156770.jpg,data\audio\blackbird\33168_A.mp3,data\metadata\inaturalist\blackbird_clean.csv,data\metadata\xeno_canto\blackbird_clean.csv
starling_76,starling,test,1,data\images\starling\236130686.jpg,data\audio\starling\712572_B.mp3,data\metadata\inaturalist\starling_clean.csv,data\metadata\xeno_canto\starling_clean.csv
sparrow_247,sparrow,train,0,data\images\sparrow\180791664.jpg,data\audio\sparrow\996904_A.mp3,data\metadata\inaturalist\sparrow_clean.csv,data\metadata\xeno_canto\sparrow_clean.csv
Crow_259,Crow,train,0,data\images\Crow\66932805.jpg,data\audio\Crow\194504_A.mp3,data\metadata\inaturalist\Crow_clean.csv,data\metadata\xeno_canto\Crow_clean.csv
Robin_150,Robin,test,0,data\images\Robin\310579616.jpg,data\audio\Robin\859124_A.mp3,data\metadata\inaturalist\Robin_clean.csv,data\metadata\xeno_canto\Robin_clean.csv
Flamingo_193,Flamingo,test,1,data\images\Flamingo\160303025.jpg,data\audio\Flamingo\497821_A.mp3,data\metadata\inaturalist\Flamingo_clean.csv,data\metadata\xeno_canto\Flamingo_clean.csv
Crow_88,Crow,train,0,data\images\Crow\178743328.jpg,data\audio\Crow\1092095_B.mp3,data\metadata\inaturalist\Crow_clean.csv,data\metadata\xeno_canto\Crow_clean.csv
blackbird_321,blackbird,train,0,data\images\blackbird\29199521.jpg,data\audio\blackbird\884198_A.mp3,data\metadata\inaturalist\blackbird_clean.csv,data\metadata\xeno_canto\blackbird_clean.csv
Flamingo_169,Flamingo,test,1,data\images\Flamingo\207837167.jpg,data\audio\Flamingo\713141_B.mp3,data\metadata\inaturalist\Flamingo_clean.csv,data\metadata\xeno_canto\Flamingo_clean.csv
Robin_242,Robin,test,0,data\images\Robin\260921483.jpg,data\audio\Robin\982379_A.mp3,data\metadata\inaturalist\Robin_clean.csv,data\metadata\xeno_canto\Robin_clean.csv
Crow_212,Crow,train,0,data\images\Crow\148591940.jpg,data\audio\Crow\943606_B.mp3,data\metadata\inaturalist\Crow_clean.csv,data\metadata\xeno_canto\Crow_clean.csv
Robin_126,Robin,train,0,data\images\Robin\337975330.jpg,data\audio\Robin\1067655_A.mp3,data\metadata\inaturalist\Robin_clean.csv,data\metadata\xeno_canto\Robin_clean.csv
Thrush_53,Thrush,train,0,data\images\Thrush\296815748.jpg,data\audio\Thrush\876930_A.mp3,data\metadata\inaturalist\Thrush_clean.csv,data\metadata\xeno_canto\Thrush_clean.csv
Crow_38,Crow,train,0,data\images\Crow\256990978.jpg,data\audio\Crow\501446_A.mp3,data\metadata\inaturalist\Crow_clean.csv,data\metadata\xeno_canto\Crow_clean.csv
Great_Tit_80,Great_Tit,train,0,data\images\Great_Tit\334949200.jpg,data\audio\Great_Tit\877996_A.mp3,data\metadata\inaturalist\Great_Tit_clean.csv,data\metadata\xeno_canto\Great_Tit_clean.csv
blue_tit_285,blue_tit,train,0,data\images\blue_tit\187608070.jpg,data\audio\blue_tit\696771_A.mp3,data\metadata\inaturalist\blue_tit_clean.csv,data\metadata\xeno_canto\blue_tit_clean.csv
starling_86,starling,test,1,data\images\starling\219131564.jpg,data\audio\starling\1101344_B.mp3,data\metadata\inaturalist\starling_clean.csv,data\metadata\xeno_canto\starling_clean.csv
blue_tit_287,blue_tit,train,0,data\images\blue_tit\239653076.jpg,data\audio\blue_tit\401555_A.mp3,data\metadata\inaturalist\blue_tit_clean.csv,data\metadata\xeno_canto\blue_tit_clean.csv
blackbird_170,blackbird,test,0,data\images\blackbird\141171366.jpg,data\audio\blackbird\1096346_A.mp3,data\metadata\inaturalist\blackbird_clean.csv,data\metadata\xeno_canto\blackbird_clean.csv
Crow_22,Crow,test,0,data\images\Crow\263735338.jpg,data\audio\Crow\932549_B.mp3,data\metadata\inaturalist\Crow_clean.csv,data\metadata\xeno_canto\Crow_clean.csv
blue_tit_256,blue_tit,train,0,data\images\blue_tit\150490081.jpg,data\audio\blue_tit\409282_A.mp3,data\metadata\inaturalist\blue_tit_clean.csv,data\metadata\xeno_canto\blue_tit_clean.csv
Thrush_25,Thrush,train,0,data\images\Thrush\247480814.jpg,data\audio\Thrush\975407_A.mp3,data\metadata\inaturalist\Thrush_clean.csv,data\metadata\xeno_canto\Thrush_clean.csv
Robin_264,Robin,train,0,data\images\Robin\103692536.jpg,data\audio\Robin\842928_A.mp3,data\metadata\inaturalist\Robin_clean.csv,data\metadata\xeno_canto\Robin_clean.csv
sparrow_112,sparrow,train,0,data\images\sparrow\284229639.jpg,data\audio\sparrow\513738_A.mp3,data\metadata\inaturalist\sparrow_clean.csv,data\metadata\xeno_canto\sparrow_clean.csv
Mallard_52,Mallard,train,0,data\images\Mallard\191844624.jpg,data\audio\Mallard\696515_A.mp3,data\metadata\inaturalist\Mallard_clean.csv,data\metadata\xeno_canto\Mallard_clean.csv
sparrow_293,sparrow,test,0,data\images\sparrow\90811037.jpg,data\audio\sparrow\642972_A.mp3,data\metadata\inaturalist\sparrow_clean.csv,data\metadata\xeno_canto\sparrow_clean.csv
Mallard_258,Mallard,test,0,data\images\Mallard\95950335.jpg,data\audio\Mallard\999260_A.mp3,data\metadata\inaturalist\Mallard_clean.csv,data\metadata\xeno_canto\Mallard_clean.csv
Crow_132,Crow,train,0,data\images\Crow\248852859.jpg,data\audio\Crow\145642_A.mp3,data\metadata\inaturalist\Crow_clean.csv,data\metadata\xeno_canto\Crow_clean.csv
Robin_276,Robin,test,0,data\images\Robin\107571629.jpg,data\audio\Robin\799029_A.mp3,data\metadata\inaturalist\Robin_clean.csv,data\metadata\xeno_canto\Robin_clean.csv
blue_tit_38,blue_tit,train,0,data\images\blue_tit\119898591.jpg,data\audio\blue_tit\994559_A.mp3,data\metadata\inaturalist\blue_tit_clean.csv,data\metadata\xeno_canto\blue_tit_clean.csv
blue_tit_193,blue_tit,train,0,data\images\blue_tit\26911963.jpg,data\audio\blue_tit\635149_A.mp3,data\metadata\inaturalist\blue_tit_clean.csv,data\metadata\xeno_canto\blue_tit_clean.csv
blackbird_51,blackbird,train,0,data\images\blackbird\148465833.jpg,data\audio\blackbird\394887_B.mp3,data\metadata\inaturalist\blackbird_clean.csv,data\metadata\xeno_canto\blackbird_clean.csv
Great_Tit_12,Great_Tit,test,0,data\images\Great_Tit\4611200.jpg,data\audio\Great_Tit\713960_A.mp3,data\metadata\inaturalist\Great_Tit_clean.csv,data\metadata\xeno_canto\Great_Tit_clean.csv
starling_40,starling,test,1,data\images\starling\276084842.jpg,data\audio\starling\820073_A.mp3,data\metadata\inaturalist\starling_clean.csv,data\metadata\xeno_canto\starling_clean.csv
blackbird_134,blackbird,train,0,data\images\blackbird\67750444.jpg,data\audio\blackbird\359370_B.mp3,data\metadata\inaturalist\blackbird_clean.csv,data\metadata\xeno_canto\blackbird_clean.csv
Mallard_90,Mallard,train,0,data\images\Mallard\177505982.jpg,data\audio\Mallard\625718_A.mp3,data\metadata\inaturalist\Mallard_clean.csv,data\metadata\xeno_canto\Mallard_clean.csv
Robin_254,Robin,train,0,data\images\Robin\153539574.jpg,data\audio\Robin\1006397_A.mp3,data\metadata\inaturalist\Robin_clean.csv,data\metadata\xeno_canto\Robin_clean.csv
Thrush_6,Thrush,train,0,data\images\Thrush\290339789.jpg,data\audio\Thrush\912710_A.mp3,data\metadata\inaturalist\Thrush_clean.csv,data\metadata\xeno_canto\Thrush_clean.csv
Flamingo_255,Flamingo,test,1,data\images\Flamingo\119778891.jpg,data\audio\Flamingo\388289_A.mp3,data\metadata\inaturalist\Flamingo_clean.csv,data\metadata\xeno_canto\Flamingo_clean.csv
blackbird_309,blackbird,train,0,data\images\blackbird\310166932.jpg,data\audio\blackbird\769176_B.mp3,data\metadata\inaturalist\blackbird_clean.csv,data\metadata\xeno_canto\blackbird_clean.csv
blackbird_322,blackbird,test,0,data\images\blackbird\132571515.jpg,data\audio\blackbird\1067669_A.mp3,data\metadata\inaturalist\blackbird_clean.csv,data\metadata\xeno_canto\blackbird_clean.csv
blue_tit_242,blue_tit,train,0,data\images\blue_tit\262313330.jpg,data\audio\blue_tit\184272_A.mp3,data\metadata\inaturalist\blue_tit_clean.csv,data\metadata\xeno_canto\blue_tit_clean.csv
Thrush_158,Thrush,train,0,data\images\Thrush\41978959.jpg,data\audio\Thrush\756357_A.mp3,data\metadata\inaturalist\Thrush_clean.csv,data\metadata\xeno_canto\Thrush_clean.csv
Great_Tit_285,Great_Tit,train,0,data\images\Great_Tit\336688101.jpg,data\audio\Great_Tit\926059_A.mp3,data\metadata\inaturalist\Great_Tit_clean.csv,data\metadata\xeno_canto\Great_Tit_clean.csv
Crow_162,Crow,train,0,data\images\Crow\306842236.jpg,data\audio\Crow\996486_B.mp3,data\metadata\inaturalist\Crow_clean.csv,data\metadata\xeno_canto\Crow_clean.csv
Thrush_190,Thrush,test,0,data\images\Thrush\149406345.jpg,data\audio\Thrush\1082848_A.mp3,data\metadata\inaturalist\Thrush_clean.csv,data\metadata\xeno_canto\Thrush_clean.csv
Toucan_68,Toucan,test,1,data\images\Toucan\282712786.jpg,data\audio\Toucan\228920_B.mp3,data\metadata\inaturalist\Toucan_clean.csv,data\metadata\xeno_canto\Toucan_clean.csv
Crow_206,Crow,train,0,data\images\Crow\139597434.jpg,data\audio\Crow\1019142_B.mp3,data\metadata\inaturalist\Crow_clean.csv,data\metadata\xeno_canto\Crow_clean.csv
starling_191,starling,test,1,data\images\starling\119220594.jpg,data\audio\starling\647794_A.mp3,data\metadata\inaturalist\starling_clean.csv,data\metadata\xeno_canto\starling_clean.csv
Crow_249,Crow,train,0,data\images\Crow\313198505.jpg,data\audio\Crow\977108_B.mp3,data\metadata\inaturalist\Crow_clean.csv,data\metadata\xeno_canto\Crow_clean.csv
blackbird_368,blackbird,train,0,data\images\blackbird\72250512.jpg,data\audio\blackbird\802749_B.mp3,data\metadata\inaturalist\blackbird_clean.csv,data\metadata\xeno_canto\blackbird_clean.csv
Great_Tit_72,Great_Tit,train,0,data\images\Great_Tit\196991978.jpg,data\audio\Great_Tit\1031069_A.mp3,data\metadata\inaturalist\Great_Tit_clean.csv,data\metadata\xeno_canto\Great_Tit_clean.csv
